Circuit: * C:\Users\forrest.rodeman\TuftedPuffinCustom\Electronics\MiniFridgePoet\Schematics\preamp_AB763_AMZ2.asc

Direct Newton iteration for .op point succeeded.
.step a_pot=0.0001 l_pot=0.0001
.step a_pot=0.02 l_pot=0.0001
.step a_pot=0.05 l_pot=0.0001
.step a_pot=0.09 l_pot=0.0001
.step a_pot=0.1 l_pot=0.0001
.step a_pot=0.24 l_pot=0.0001
.step a_pot=0.5 l_pot=0.0001
.step a_pot=0.86 l_pot=0.0001
.step a_pot=0.95 l_pot=0.0001
.step a_pot=0.98 l_pot=0.0001
.step a_pot=1 l_pot=0.0001
.step a_pot=0.0001 l_pot=0.091
.step a_pot=0.02 l_pot=0.091
.step a_pot=0.05 l_pot=0.091
.step a_pot=0.09 l_pot=0.091
.step a_pot=0.1 l_pot=0.091
.step a_pot=0.24 l_pot=0.091
.step a_pot=0.5 l_pot=0.091
.step a_pot=0.86 l_pot=0.091
.step a_pot=0.95 l_pot=0.091
.step a_pot=0.98 l_pot=0.091
.step a_pot=1 l_pot=0.091
.step a_pot=0.0001 l_pot=0.1819
.step a_pot=0.02 l_pot=0.1819
.step a_pot=0.05 l_pot=0.1819
.step a_pot=0.09 l_pot=0.1819
.step a_pot=0.1 l_pot=0.1819
.step a_pot=0.24 l_pot=0.1819
.step a_pot=0.5 l_pot=0.1819
.step a_pot=0.86 l_pot=0.1819
.step a_pot=0.95 l_pot=0.1819
.step a_pot=0.98 l_pot=0.1819
.step a_pot=1 l_pot=0.1819
.step a_pot=0.0001 l_pot=0.2728
.step a_pot=0.02 l_pot=0.2728
.step a_pot=0.05 l_pot=0.2728
.step a_pot=0.09 l_pot=0.2728
.step a_pot=0.1 l_pot=0.2728
.step a_pot=0.24 l_pot=0.2728
.step a_pot=0.5 l_pot=0.2728
.step a_pot=0.86 l_pot=0.2728
.step a_pot=0.95 l_pot=0.2728
.step a_pot=0.98 l_pot=0.2728
.step a_pot=1 l_pot=0.2728
.step a_pot=0.0001 l_pot=0.3637
.step a_pot=0.02 l_pot=0.3637
.step a_pot=0.05 l_pot=0.3637
.step a_pot=0.09 l_pot=0.3637
.step a_pot=0.1 l_pot=0.3637
.step a_pot=0.24 l_pot=0.3637
.step a_pot=0.5 l_pot=0.3637
.step a_pot=0.86 l_pot=0.3637
.step a_pot=0.95 l_pot=0.3637
.step a_pot=0.98 l_pot=0.3637
.step a_pot=1 l_pot=0.3637
.step a_pot=0.0001 l_pot=0.4546
.step a_pot=0.02 l_pot=0.4546
.step a_pot=0.05 l_pot=0.4546
.step a_pot=0.09 l_pot=0.4546
.step a_pot=0.1 l_pot=0.4546
.step a_pot=0.24 l_pot=0.4546
.step a_pot=0.5 l_pot=0.4546
.step a_pot=0.86 l_pot=0.4546
.step a_pot=0.95 l_pot=0.4546
.step a_pot=0.98 l_pot=0.4546
.step a_pot=1 l_pot=0.4546
.step a_pot=0.0001 l_pot=0.5455
.step a_pot=0.02 l_pot=0.5455
.step a_pot=0.05 l_pot=0.5455
.step a_pot=0.09 l_pot=0.5455
.step a_pot=0.1 l_pot=0.5455
.step a_pot=0.24 l_pot=0.5455
.step a_pot=0.5 l_pot=0.5455
.step a_pot=0.86 l_pot=0.5455
.step a_pot=0.95 l_pot=0.5455
.step a_pot=0.98 l_pot=0.5455
.step a_pot=1 l_pot=0.5455
.step a_pot=0.0001 l_pot=0.6364
.step a_pot=0.02 l_pot=0.6364
.step a_pot=0.05 l_pot=0.6364
.step a_pot=0.09 l_pot=0.6364
.step a_pot=0.1 l_pot=0.6364
.step a_pot=0.24 l_pot=0.6364
.step a_pot=0.5 l_pot=0.6364
.step a_pot=0.86 l_pot=0.6364
.step a_pot=0.95 l_pot=0.6364
.step a_pot=0.98 l_pot=0.6364
.step a_pot=1 l_pot=0.6364
.step a_pot=0.0001 l_pot=0.7273
.step a_pot=0.02 l_pot=0.7273
.step a_pot=0.05 l_pot=0.7273
.step a_pot=0.09 l_pot=0.7273
.step a_pot=0.1 l_pot=0.7273
.step a_pot=0.24 l_pot=0.7273
.step a_pot=0.5 l_pot=0.7273
.step a_pot=0.86 l_pot=0.7273
.step a_pot=0.95 l_pot=0.7273
.step a_pot=0.98 l_pot=0.7273
.step a_pot=1 l_pot=0.7273
.step a_pot=0.0001 l_pot=0.8182
.step a_pot=0.02 l_pot=0.8182
.step a_pot=0.05 l_pot=0.8182
.step a_pot=0.09 l_pot=0.8182
.step a_pot=0.1 l_pot=0.8182
.step a_pot=0.24 l_pot=0.8182
.step a_pot=0.5 l_pot=0.8182
.step a_pot=0.86 l_pot=0.8182
.step a_pot=0.95 l_pot=0.8182
.step a_pot=0.98 l_pot=0.8182
.step a_pot=1 l_pot=0.8182
.step a_pot=0.0001 l_pot=0.9091
.step a_pot=0.02 l_pot=0.9091
.step a_pot=0.05 l_pot=0.9091
.step a_pot=0.09 l_pot=0.9091
.step a_pot=0.1 l_pot=0.9091
.step a_pot=0.24 l_pot=0.9091
.step a_pot=0.5 l_pot=0.9091
.step a_pot=0.86 l_pot=0.9091
.step a_pot=0.95 l_pot=0.9091
.step a_pot=0.98 l_pot=0.9091
.step a_pot=1 l_pot=0.9091
.step a_pot=0.0001 l_pot=1
.step a_pot=0.02 l_pot=1
.step a_pot=0.05 l_pot=1
.step a_pot=0.09 l_pot=1
.step a_pot=0.1 l_pot=1
.step a_pot=0.24 l_pot=1
.step a_pot=0.5 l_pot=1
.step a_pot=0.86 l_pot=1
.step a_pot=0.95 l_pot=1
.step a_pot=0.98 l_pot=1
.step a_pot=1 l_pot=1

Date: Sat Dec  9 18:17:50 2023
Total elapsed time: 0.876 seconds.

tnom = 27
temp = 27
method = trap
totiter = 7
traniter = 0
tranpoints = 0
accept = 0
rejected = 0
matrix size = 29
fillins = 13
solver = Normal
Avg thread counts: 20.0/0.0/20.0/20.0
Matrix Compiler1:     106 opcodes
Matrix Compiler2: 2.07 KB object code size
